0,depart,arrive,distance,carbu,peage,duree
0,GENEVE,DIJON,264,21.09,26.7,160
1,NANTES,BREST,297,23.83,0.0,208
2,SAINT-BREVIN,NANTES,69,5.79,0.0,74
3,TARBES,TOULOUSE,158,12.78,8.8,113
4,TARBES,PAU,45.09,3.86,2.8,46
5,PAU,BIARRITZ,125,10.07,9.7,85
6,BORDEAUX,BIARRITZ,197,15.91,8.8,143
7,LILLE,SEDAN,232,18.64,0.0,158
8,MONTPELLIER,NIMES,53,4.43,3.1,57
9,NIMES,MARSEILLE,119,9.68,1.8,101
10,PARIS,TROYES,183,15.04,10.2,151
11,TROYES,NANCY,246,19.6,16.5,147
12,TROYES,DIJON,189,15.1,13.3,112
13,TROYES,REIMS,125,10.01,10.3,81
14,TROYES,NEVERS,270,21.47,21.2,150
15,CLERMONT-FERRAND,AMBERT,87,7.21,2.4,86
16,PAU,TOULOUSE,199,16.03,12.6,134
17,TOULOUSE,BORDEAUX,243,19.45,19.3,151
18,PAU,BORDEAUX,216,17.26,28.7,132
19,BORDEAUX,ROCHELLE,189,15.31,16.4,138
20,ROCHELLE,NANTES,139,11.45,8.6,127
21,RENNES,NANTES,112,9.21,0.0,105
22,RENNES,PARIS,350,28.09,29.5,215
23,PARIS,CAEN,236,19.0,24.8,176
24,ROUEN,PARIS,132,10.84,15.5,123
25,CAEN,ROUEN,128,10.38,9.3,99
26,GENEVE,GRENOBLE,143,11.53,6.0,108
27,GENEVE,NEVERS,328,26.49,18.1,242
28,GENEVE,LYON,150,12.18,16.7,118
29,LYON,CLERMONT-FERRAND,168,13.47,16.3,117
30,LYON,GRENOBLE,113,9.28,11.9,98
31,CALAIS,LILLE,115,9.21,0.0,80
32,CALAIS,AMIENS,161,12.96,12.1,101
33,ROUEN,AMIENS,119,9.56,4.7,77
34,AMIENS,PARIS,153,12.51,8.6,134
35,METZ,NANCY,57,4.7,0.0,60
36,METZ,STRASBOURG,179,14.22,13.7,104
37,STRASBOURG,NANCY,156,12.56,3.7,116
38,PARIS,NEVERS,246,19.98,12.5,184
39,PARIS,DIJON,319,25.78,19.1,224
40,DIJON,BESANCON,97,7.89,7.1,76
41,LYON,MARSEILLE,314,25.34,25.2,224
42,LYON,MONTPELLIER,304,24.56,27.4,220
43,MARSEILLE,NICE,200,16.2,18.4,147
44,MONTPELLIER,PERPIGNAN,160,12.76,13.5,103
45,PERPIGNAN,TOULOUSE,207,16.56,18.8,129
46,ANGERS,NANTES,88,7.24,8.9,69
47,ANGERS,RENNES,130,10.58,0.0,108
48,ANGERS,TOURS,133,10.63,10.8,81
49,ANGERS,PARIS,297,23.88,29.4,179
50,ORLEANS,PARIS,133,11.15,10.9,123
51,TOURS,ORLEANS,116,9.33,12.6,79
52,TOURS,LIMOGES,308,24.43,12.3,165
53,RODEZ,BORDEAUX,384,30.61,21.5,220
54,RODEZ,LIMOGES,255,20.5,5.0,181
55,CLERMONT-FERRAND,LIMOGES,230,18.43,13.5,142
56,RODEZ,CLERMONT-FERRAND,245,19.62,0.0,168
57,RODEZ,TOULOUSE,150,12.07,1.5,113
58,RODEZ,MONTPELLIER,172,13.83,11.0,134
59,RODEZ,LYON,401,32.03,16.3,250
60,ORLEANS,PARIS,133,11.15,10.9,122
61,ORLEANS,CLERMONT-FERRAND,300,23.96,27.2,172
62,ORLEANS,DIJON,319,25.46,34.2,182
63,ORLEANS,ANGERS,247,19.7,23.4,149
64,TOURS,ANGERS,133,10.58,10.8,84
65,TOURS,ROCHELLE,238,18.99,19.7,146
66,TOURS,LIMOGES,308,24.43,12.3,166
67,TOURS,CLERMONT-FERRAND,341,27.06,31.3,185
68,BORDEAUX,ALBI,312,24.83,21.5,182
69,ALBI,TOULOUSE,77,6.22,1.5,59
70,TOULOUSE,CASTRES,80,6.7,1.5,94
71,CASTRES,MONTPELLIER,177,14.72,5.4,171
72,REIMS,PARIS,143,11.62,11.3,103
73,REIMS,METZ,192,15.26,14.8,107
74,REIMS,VESOUL,313,25.09,21.3,199
75,VESOUL,DIJON,136,11.0,7.1,101
76,PARIS,SOISSONS,104,8.74,0.0,116
77,SOISSONS,REIMS,59,4.95,0.0,66
78,LAON,SEDAN,124,10.23,0.0,107
79,SEDAN,VIRTON,64,5.3,0.0,63
80,VIRTON,METZ,87,7.11,0.0,75
81,PARIS,METZ,332,26.64,26.3,205
82,LYON,ROANNE,98,7.96,5.6,80
83,ROANNE,VICHY,74,6.15,0.0,77
84,VICHY,CLERMONT-FERRAND,71,5.88,5.6,69
85,AMBERT,MONTPELLIER,348,27.81,11.0,224
86,GRENOBLE,MARSEILLE,307,24.49,28.0,190
87,GRENOBLE,MONACO,486,38.64,50.3,281
88,ROCHELLE,LIMOGES,255,20.66,4.2,198
89,RENNES,BREST,243,19.42,0.0,165
90,RENNES,CAEN,184,14.75,0.0,120
91,NANCY,VESOUL,157,12.65,0.0,122
92,VESOUL,STRASBOURG,223,17.73,2.9,146
93,BESANCON,GENEVE,177,14.5,0.0,163
94,BORDEAUX,LIMOGES,222,17.98,0.0,174
95,LILLE,AMIENS,140,11.38,9.3,118
96,AMIENS,LAON,130,10.47,8.5,86
97,NICE,MONACO,21.01,1.88,2.4,37
