,depart,arrive,duree,distance,carbu,peage
0,PARIS,COLLEGIEN,30 min,"29,3 km","2,29 €",
1,PARIS,COMPANS,43 min,"40,7 km","3,17 €",
2,PARIS,CONCHES-SUR-GONDOIRE,36 min,"33,3 km","2,60 €",
3,PARIS,CONGIS-SUR-THEROUANNE,1 h 00,72 km,"5,64 €","2,30 €"
4,PARIS,COUILLY-PONT-AUX-DAMES,39 min,"45,4 km","3,54 €","2,30 €"
5,PARIS,COULOMBS-EN-VALOIS,58 min,78 km,"6,11 €","4,20 €"
6,ACHERES-LA-FORET,COMBS-LA-VILLE,36 min,51 km,"4,01 €","1,50 €"
7,ACHERES-LA-FORET,CONCHES-SUR-GONDOIRE,1 h 01,84 km,"6,56 €","1,50 €"
8,ACHERES-LA-FORET,CONDE-SAINTE-LIBIAIRE,1 h 09,99 km,"7,70 €","3,80 €"
9,ACHERES-LA-FORET,CONGIS-SUR-THEROUANNE,1 h 26,116 km,"9,08 €","3,80 €"
10,ACHERES-LA-FORET,COUBERT,46 min,67 km,"5,21 €","1,50 €"
11,ACHERES-LA-FORET,COUILLY-PONT-AUX-DAMES,1 h 04,96 km,"7,50 €","3,80 €"
12,AUBEPIERRE-OZOUER-LE-REPOS,COMPANS,52 min,66 km,"5,11 €",
13,AUBEPIERRE-OZOUER-LE-REPOS,COUILLY-PONT-AUX-DAMES,31 min,"31,9 km","2,50 €",
14,AUBEPIERRE-OZOUER-LE-REPOS,AULNOY,2 h 27,251 km,"19,61 €","14,50 €"
15,CHATELET-EN-BRIE,CONCHES-SUR-GONDOIRE,47 min,59 km,"4,57 €","1,60 €"
16,CHATELET-EN-BRIE,CONDE-SAINTE-LIBIAIRE,50 min,53 km,"4,18 €","0,60 €"
17,CHATELET-EN-BRIE,CONGIS-SUR-THEROUANNE,1 h 06,80 km,"6,22 €","0,60 €"
18,CHATELET-EN-BRIE,AULNOY,2 h 32,264 km,"20,61 €","16,10 €"
19,CHATENAY-SUR-SEINE,CONDE-SAINTE-LIBIAIRE,1 h 04,81 km,"6,37 €","2,20 €"
20,CHATENAY-SUR-SEINE,CONGIS-SUR-THEROUANNE,1 h 20,107 km,"8,40 €","2,20 €"
21,CHATENAY-SUR-SEINE,COUBERT,39 min,55 km,"4,28 €","2,20 €"
22,CHATENAY-SUR-SEINE,COUILLY-PONT-AUX-DAMES,59 min,79 km,"6,15 €","2,20 €"
23,CHATENAY-SUR-SEINE,COULOMBS-EN-VALOIS,1 h 18,114 km,"8,88 €","4,10 €"
24,CHATENAY-SUR-SEINE,AULNOY,2 h 45,292 km,"22,80 €","18,50 €"
25,CHATENOY,COUBERT,2 h 42,321 km,"25,01 €","25,20 €"
26,CHATENOY,COUILLY-PONT-AUX-DAMES,3 h 02,345 km,"26,88 €","25,20 €"
27,CHATENOY,COULOMBS-EN-VALOIS,3 h 21,380 km,"29,60 €","27,10 €"
28,CHATILLON-LA-BORDE,AULNOY,2 h 26,259 km,"20,24 €","16,10 €"
